temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
17.04,clear-night,0.74,4.75,Clear,17.04,1028.35,2.84,0.0,1388635200,33.0,0.0,10.07,0.0
15.97,clear-night,0.79,6.6,Clear,15.97,1027.63,1.74,0.0,1388638800,318.0,0.0,10.59,0.0
15.55,snow,0.83,3.16,Flurries,8.28,1026.66,4.58,1.0,1388642400,20.0,0.0009,11.26,0.01
14.8,snow,0.83,1.59,Light Snow,7.67,1026.45,4.38,,1388646000,15.0,0.0071,10.71,0.35
14.51,snow,0.86,1.45,Snow,14.51,1026.37,2.44,,1388649600,13.0,0.0142,11.1,0.55
14.09,snow,0.84,1.53,Light Snow,8.14,1025.76,3.52,,1388653200,353.0,0.0049,10.11,0.21
12.14,snow,0.83,1.55,Snow,5.41,1025.42,3.83,,1388656800,334.0,0.0083,7.93,0.43
10.08,snow,0.84,1.31,Light Snow,4.39,1025.35,3.06,,1388660400,351.0,0.0034,6.27,0.12
9.23,snow,0.84,1.44,Snow,-2.8,1025.25,7.91,1.0,1388664000,25.0,0.0141,5.38,0.55
8.98,snow,0.82,1.0,Snow,-3.52,1024.85,8.38,,1388667600,29.0,0.0137,4.73,0.54
8.29,snow,0.82,1.11,Snow,-5.18,1024.43,9.37,,1388671200,28.0,0.0103,3.92,0.51
11.0,snow,0.78,1.07,Snow,-1.72,1023.75,9.22,,1388674800,20.0,0.0079,5.48,0.4
11.31,snow,0.79,1.45,Flurries,0.34,1022.26,7.23,,1388678400,68.0,0.0013,6.22,0.02
11.84,snow,0.75,2.79,Light Snow,0.92,1020.29,7.3,,1388682000,69.0,0.0018,5.6,0.04
11.36,snow,0.72,3.8,Flurries,-2.0,1018.76,10.2,1.0,1388685600,88.0,0.0009,4.17,0.01
10.56,snow,0.72,2.92,Flurries,-5.56,1017.87,14.41,,1388689200,87.0,0.0011,3.36,0.02
9.83,snow,0.79,1.07,Flurries,-5.98,1016.4,13.48,,1388692800,96.0,0.0013,4.65,0.02
9.49,snow,0.75,1.55,Light Snow,-4.72,1016.06,10.77,,1388696400,89.0,0.0015,3.18,0.03
8.84,snow,0.78,1.14,Light Snow,-4.49,1015.82,9.36,,1388700000,75.0,0.0024,3.28,0.07
8.59,snow,0.77,1.85,Light Snow,-5.36,1015.11,10.1,,1388703600,71.0,0.0041,2.79,0.16
7.71,snow,0.75,1.49,Light Snow,-5.04,1014.7,8.35,1.0,1388707200,88.0,0.0021,1.59,0.06
6.91,snow,0.75,1.35,Light Snow,-6.9,1014.28,9.4,,1388710800,81.0,0.003,0.68,0.1
6.42,snow,0.7,1.86,Light Snow,-8.0,1012.78,10.02,,1388714400,82.0,0.0022,-1.16,0.06
5.34,snow,0.73,1.38,Light Snow,-5.3,1012.7,5.82,1.0,1388718000,71.0,0.007,-1.4,0.34
5.17,snow,0.73,1.39,Light Snow,-6.03,1011.74,6.26,,1388721600,53.0,0.0039,-1.62,0.15
-0.25,snow,0.78,1.27,Light Snow,-11.65,1011.67,5.6,,1388725200,300.0,0.0031,-5.51,0.1
-1.06,snow,0.77,0.98,Light Snow,-11.03,1011.43,4.53,,1388728800,313.0,0.003,-6.49,0.1
-2.1,snow,0.77,1.11,Light Snow,-11.52,1010.98,4.12,,1388732400,295.0,0.0021,-7.45,0.06
-2.51,snow,0.78,1.27,Light Snow,-13.67,1010.8,5.14,,1388736000,295.0,0.0046,-7.74,0.19
-3.49,snow,0.82,1.38,Light Snow,-16.24,1011.14,6.15,1.0,1388739600,272.0,0.0037,-7.57,0.14
-2.94,snow,0.75,1.66,Light Snow,-16.78,1011.67,7.15,,1388743200,291.0,0.0025,-8.82,0.07
-3.66,snow,0.77,3.79,Light Snow,-16.43,1012.94,6.15,,1388746800,285.0,0.0017,-9.04,0.04
-3.75,snow,0.77,2.03,Flurries,-15.98,1014.71,5.73,1.0,1388750400,311.0,0.0008,-9.02,0.01
-3.76,clear-day,0.72,2.32,Clear,-16.19,1016.13,5.88,,1388754000,292.0,0.0,-10.34,0.0
-3.59,clear-day,0.7,3.3,Clear,-16.66,1017.48,6.39,,1388757600,312.0,0.0,-10.85,0.0
-2.63,partly-cloudy-day,0.66,6.62,Partly Cloudy,-18.29,1018.85,8.99,0.46,1388761200,299.0,0.0,-10.99,0.0
-0.45,clear-day,0.59,9.05,Clear,-16.23,1019.55,9.69,0.0,1388764800,295.0,0.0,-11.26,0.0
0.13,clear-day,0.58,9.74,Clear,-15.46,1020.49,9.62,0.0,1388768400,297.0,0.0,-11.02,0.0
1.62,clear-day,0.55,9.46,Clear,-14.14,1021.27,10.27,0.02,1388772000,311.0,0.0,-10.59,0.0
2.67,clear-day,0.53,9.56,Clear,-12.67,1022.39,10.05,0.0,1388775600,298.0,0.0,-10.63,0.0
3.05,clear-day,0.53,10.0,Clear,-11.26,1023.84,8.93,0.0,1388779200,299.0,0.0,-10.32,0.0
2.01,clear-day,0.55,10.0,Clear,-12.65,1025.19,9.06,0.0,1388782800,297.0,0.0,-10.47,0.0
-0.07,clear-night,0.61,10.0,Clear,-10.34,1026.62,4.83,0.0,1388786400,288.0,0.0,-10.28,0.0
-1.64,clear-night,0.66,10.0,Clear,-14.36,1028.01,6.42,0.0,1388790000,274.0,0.0,-10.21,0.0
-3.64,clear-night,0.67,10.0,Clear,-16.72,1029.23,6.39,0.0,1388793600,257.0,0.0,-11.9,0.0
-6.45,clear-night,0.74,10.0,Clear,-6.45,1030.55,2.75,0.0,1388797200,225.0,0.0,-12.6,0.0
-9.13,clear-night,0.78,9.76,Clear,-9.13,1031.03,0.81,0.0,1388800800,233.0,0.0,-14.05,0.0
-10.68,clear-night,0.76,10.0,Clear,-10.68,1031.33,0.4,0.0,1388804400,146.0,0.0,-16.17,0.0
-12.26,clear-night,0.77,9.84,Clear,-12.26,1031.53,2.41,0.0,1388808000,248.0,0.0,-17.51,0.0
-11.59,clear-night,0.77,9.95,Clear,-23.8,1031.46,4.81,0.0,1388811600,290.0,0.0,-16.82,0.0
-12.32,clear-night,0.76,9.95,Clear,-25.61,1031.81,5.38,0.0,1388815200,287.0,0.0,-17.76,0.0
-13.55,clear-night,0.77,9.95,Clear,-13.55,1032.29,1.61,0.0,1388818800,171.0,0.0,-18.62,0.0
-13.72,clear-night,0.77,9.82,Clear,-22.95,1032.03,3.21,0.0,1388822400,222.0,0.0,-18.78,0.0
-13.38,clear-night,0.75,9.87,Clear,-13.38,1031.35,0.91,0.03,1388826000,230.0,0.0,-18.98,0.0
-10.83,clear-night,0.77,9.79,Clear,-10.83,1031.46,2.33,0.0,1388829600,153.0,0.0,-15.88,0.0
-9.19,clear-night,0.77,9.66,Clear,-20.09,1031.9,4.31,0.0,1388833200,145.0,0.0,-14.43,0.0
-8.91,clear-night,0.8,9.8,Clear,-18.6,1032.37,3.72,0.04,1388836800,150.0,0.0,-13.42,0.0
-6.53,clear-day,0.76,9.22,Clear,-18.54,1032.15,5.23,0.0,1388840400,115.0,0.0,-12.18,0.0
-2.71,clear-day,0.75,9.6,Clear,-10.22,1031.93,3.12,0.0,1388844000,132.0,0.0,-8.67,0.0
2.69,clear-day,0.67,9.86,Clear,-12.39,1031.28,9.75,0.01,1388847600,123.0,0.0,-5.82,0.0
10.08,clear-day,0.48,10.0,Clear,-1.63,1029.76,7.76,0.0,1388851200,115.0,0.0,-5.59,0.0
15.32,clear-day,0.41,10.0,Clear,6.72,1027.83,5.67,0.0,1388854800,138.0,0.0,-4.29,0.0
19.07,clear-day,0.35,10.0,Clear,12.12,1026.46,4.8,0.02,1388858400,139.0,0.0,-4.17,0.0
21.65,clear-day,0.34,10.0,Clear,13.34,1025.38,6.62,0.0,1388862000,198.0,0.0,-2.52,0.0
22.72,clear-day,0.34,10.0,Clear,11.56,1025.21,11.15,0.0,1388865600,196.0,0.0,-1.68,0.0
20.55,clear-day,0.44,10.0,Clear,14.37,1025.03,4.37,0.03,1388869200,174.0,0.0,2.17,0.0
16.81,clear-night,0.52,8.9,Clear,6.35,1024.99,7.99,0.0,1388872800,183.0,0.0,2.07,0.0
14.52,clear-night,0.59,9.93,Clear,4.54,1024.99,6.88,0.0,1388876400,190.0,0.0,2.99,0.0
14.21,clear-night,0.58,9.9,Clear,6.51,1025.04,4.74,0.03,1388880000,180.0,0.0,2.29,0.0
11.65,clear-night,0.67,9.98,Clear,-0.49,1025.12,8.67,0.0,1388883600,184.0,0.0,2.96,0.0
11.12,clear-night,0.65,9.87,Clear,-0.56,1025.25,7.97,0.0,1388887200,186.0,0.0,1.72,0.0
11.53,clear-night,0.65,9.95,Clear,0.67,1025.07,7.16,0.02,1388890800,176.0,0.0,2.2,0.0
12.01,clear-night,0.65,9.9,Clear,6.04,1025.0,3.36,0.0,1388894400,151.0,0.0,2.59,0.0
10.67,clear-night,0.69,9.98,Clear,1.88,1024.94,5.11,0.0,1388898000,173.0,0.0,2.6,0.0
8.65,clear-night,0.78,9.93,Clear,8.65,1024.81,1.85,0.02,1388901600,166.0,0.0,3.2,0.0
6.91,clear-night,0.8,9.93,Clear,-0.63,1024.94,3.83,0.0,1388905200,177.0,0.0,1.94,0.0
5.67,clear-night,0.77,9.89,Clear,-5.54,1024.73,6.35,0.0,1388908800,169.0,0.0,0.03,0.0
4.36,clear-night,0.84,9.81,Clear,4.36,1024.66,2.53,0.01,1388912400,158.0,0.0,0.5,0.0
3.76,clear-night,0.8,9.76,Clear,-2.98,1024.79,3.17,0.0,1388916000,156.0,0.0,-0.89,0.0
2.26,clear-night,0.83,9.76,Clear,-6.13,1025.65,3.91,0.0,1388919600,125.0,0.0,-1.74,0.0
1.34,clear-night,0.81,9.76,Clear,1.34,1026.36,2.46,0.02,1388923200,137.0,0.0,-2.99,0.0
1.99,clear-day,0.85,9.49,Clear,1.99,1026.88,1.02,0.0,1388926800,107.0,0.0,-1.41,0.0
8.98,clear-day,0.81,9.54,Clear,8.98,1026.94,2.41,0.0,1388930400,117.0,0.0,4.4,0.0
16.32,clear-day,0.69,9.97,Clear,9.28,1026.78,4.5,0.01,1388934000,131.0,0.0,7.81,0.0
23.12,clear-day,0.57,9.92,Clear,23.12,1025.93,0.95,0.0,1388937600,355.0,0.0,9.99,0.0
28.53,snow,0.48,10.0,Flurries,24.77,1024.32,3.44,0.0,1388941200,178.0,0.0022,11.44,0.06
31.58,clear-day,0.45,10.0,Clear,26.58,1023.05,5.0,0.06,1388944800,105.0,0.0,12.72,0.0
34.01,clear-day,0.42,10.0,Clear,34.01,1022.08,0.25,0.0,1388948400,207.0,0.0,13.54,0.0
35.35,clear-day,0.42,9.95,Clear,31.77,1021.51,4.18,0.0,1388952000,125.0,0.0,14.76,0.0
35.4,partly-cloudy-day,0.46,9.83,Partly Cloudy,29.41,1021.18,7.3,0.37,1388955600,103.0,0.0,16.49,0.0
35.86,clear-night,0.5,9.84,Clear,30.96,1020.74,5.83,,1388959200,110.0,0.0,18.96,0.0
35.28,clear-night,0.75,6.02,Clear,27.9,1020.27,9.79,,1388962800,115.0,0.002,28.28,0.05
34.76,cloudy,0.88,7.38,Overcast,27.71,1019.46,8.89,1.0,1388966400,99.0,0.0,31.49,0.0
36.61,clear-night,0.89,7.5,Clear,29.77,1018.18,9.31,,1388970000,82.0,0.0,33.64,0.0
37.76,clear-night,0.88,7.23,Clear,29.73,1016.66,12.79,,1388973600,91.0,0.0,34.61,0.0
40.74,rain,0.87,5.27,Drizzle,33.4,1014.39,13.05,1.0,1388977200,116.0,0.0064,37.28,0.3
40.8,rain,0.88,4.67,Light Rain,32.9,1011.97,14.88,,1388980800,127.0,0.0129,37.51,0.54
40.9,clear-night,0.88,7.44,Clear,35.63,1009.65,8.11,,1388984400,116.0,0.0044,37.51,0.18
42.57,rain,0.88,7.57,Drizzle,34.78,1007.58,16.21,1.0,1388988000,127.0,0.006,39.37,0.27
43.27,rain,0.91,3.67,Rain,35.59,1005.54,16.6,,1388991600,126.0,0.0917,40.71,0.77
43.37,rain,0.92,3.12,Light Rain,35.99,1003.75,15.59,,1388995200,113.0,0.0264,41.22,0.63
44.24,rain,0.93,3.67,Light Rain,38.14,1001.57,12.12,1.0,1388998800,108.0,0.0369,42.28,0.67
47.03,rain,0.9,6.28,Light Rain,40.53,999.37,16.26,,1389002400,117.0,0.0096,44.23,0.5
45.63,rain,0.94,6.07,Drizzle,40.91,998.05,9.26,,1389006000,137.0,0.0084,43.9,0.43
48.84,rain,0.92,7.13,Light Rain,44.26,996.36,11.03,1.0,1389009600,165.0,0.01,46.7,0.5
51.78,rain,0.92,2.07,Rain,51.78,994.28,7.57,,1389013200,149.0,0.124,49.57,0.8
55.72,rain,0.83,6.87,Rain,55.72,993.34,13.72,,1389016800,224.0,0.0867,50.73,0.76
46.68,rain,0.88,4.05,Light Rain,42.07,994.97,9.59,1.0,1389020400,235.0,0.0317,43.4,0.65
44.31,rain,0.9,5.52,Light Rain,42.26,995.71,4.05,,1389024000,261.0,0.0402,41.69,0.68
42.17,rain,0.92,6.62,Light Rain,35.42,994.25,12.45,,1389027600,279.0,0.0204,40.03,0.6
36.1,rain,0.8,3.21,Light Rain,29.94,995.85,7.82,1.0,1389031200,285.0,0.0097,30.61,0.5
33.88,rain,0.81,4.54,Drizzle,25.68,996.86,10.8,,1389034800,283.0,0.0068,28.79,0.33
33.38,clear-day,0.72,9.14,Clear,23.86,997.31,13.61,,1389038400,277.0,0.0034,25.4,0.12
31.15,partly-cloudy-day,0.64,9.98,Partly Cloudy,20.59,997.97,14.75,0.31,1389042000,276.0,0.0017,20.25,0.04
29.73,clear-night,0.61,9.98,Clear,18.81,998.39,14.67,0.0,1389045600,284.0,0.0,18.02,0.0
28.56,clear-night,0.61,10.0,Clear,18.4,998.46,12.11,0.0,1389049200,297.0,0.0,16.71,0.0
27.51,clear-night,0.64,9.83,Clear,16.35,999.06,13.76,0.16,1389052800,278.0,0.0,16.8,0.0
25.81,clear-night,0.6,9.79,Clear,13.05,1000.08,16.56,0.0,1389056400,276.0,0.0,13.94,0.0
24.71,clear-night,0.55,9.85,Clear,12.61,1000.54,14.14,0.0,1389060000,281.0,0.0,10.98,0.0
23.4,partly-cloudy-night,0.58,9.43,Partly Cloudy,11.52,1000.66,12.88,0.33,1389063600,278.0,0.0,10.81,0.0
21.36,clear-night,0.61,9.38,Clear,8.44,1000.73,13.93,0.0,1389067200,284.0,0.0,9.86,0.0
15.76,clear-night,0.5,9.4,Clear,-0.09,1003.03,16.94,,1389070800,272.0,0.0,0.41,0.0
13.08,partly-cloudy-night,0.47,9.82,Partly Cloudy,-2.92,1004.32,15.56,0.46,1389074400,278.0,0.0,-3.49,0.0
10.11,clear-night,0.49,9.91,Clear,-5.88,1005.62,13.95,0.0,1389078000,281.0,0.0,-5.34,0.0
8.62,clear-night,0.49,10.0,Clear,-6.58,1006.66,11.92,0.0,1389081600,281.0,0.0,-6.77,0.0
7.41,clear-night,0.48,10.0,Clear,-9.49,1007.67,14.24,0.2,1389085200,279.0,0.0,-8.26,0.0
6.3,clear-night,0.51,10.0,Clear,-9.93,1008.73,12.6,0.0,1389088800,281.0,0.0,-8.05,0.0
5.26,clear-night,0.55,10.0,Clear,-13.46,1009.52,16.5,0.0,1389092400,271.0,0.0,-7.27,0.0
4.93,clear-night,0.58,9.31,Clear,-12.48,1010.8,13.95,0.12,1389096000,267.0,0.0,-6.43,0.0
3.75,clear-day,0.64,5.31,Clear,-14.72,1012.18,15.23,0.0,1389099600,270.0,0.0,-5.71,0.0
5.25,clear-day,0.52,8.38,Clear,-12.78,1013.77,15.19,0.0,1389103200,267.0,0.0,-8.54,0.0
5.37,clear-day,0.5,9.96,Clear,-13.75,1015.45,17.39,0.09,1389106800,272.0,0.0,-9.01,0.0
6.42,clear-day,0.46,10.0,Clear,-10.41,1015.85,13.64,0.0,1389110400,272.0,0.0,-10.04,0.0
5.88,clear-day,0.43,10.0,Clear,-12.56,1015.85,16.32,0.0,1389114000,272.0,0.0,-11.72,0.0
6.08,clear-day,0.42,10.0,Clear,-12.21,1016.04,16.13,0.12,1389117600,270.0,0.0,-12.23,0.0
5.94,clear-day,0.43,10.0,Clear,-11.39,1017.01,14.28,0.0,1389121200,263.0,0.0,-11.56,0.0
5.96,clear-day,0.42,10.0,Clear,-11.13,1017.73,13.87,0.0,1389124800,285.0,0.0,-12.3,0.0
6.19,clear-day,0.41,10.0,Clear,-10.9,1018.4,13.97,0.11,1389128400,275.0,0.0,-12.58,0.0
4.68,clear-night,0.42,10.0,Clear,-11.02,1019.51,11.18,0.0,1389132000,265.0,0.0,-13.16,0.0
4.52,clear-night,0.44,10.0,Clear,-11.01,1020.41,10.89,0.0,1389135600,262.0,0.0,-12.57,0.0
4.25,clear-night,0.43,10.0,Clear,-12.9,1021.34,13.21,0.01,1389139200,261.0,0.0,-13.32,0.0
4.14,clear-night,0.43,10.0,Clear,-12.53,1021.92,12.42,0.0,1389142800,269.0,0.0,-13.3,0.0
4.05,clear-night,0.44,10.0,Clear,-12.61,1022.68,12.35,0.0,1389146400,252.0,0.0,-12.8,0.0
4.17,clear-night,0.48,10.0,Clear,-9.25,1023.07,8.22,0.01,1389150000,259.0,0.0,-11.19,0.0
4.71,clear-night,0.47,10.0,Clear,-10.98,1023.53,11.19,0.0,1389153600,254.0,0.0,-11.0,0.0
4.73,clear-night,0.47,10.0,Clear,-9.35,1024.22,9.12,0.0,1389157200,225.0,0.0,-10.84,0.0
4.65,clear-night,0.51,10.0,Clear,-6.18,1025.04,5.87,0.0,1389160800,258.0,0.0,-9.34,0.0
4.56,clear-night,0.54,10.0,Clear,-6.75,1025.97,6.26,0.0,1389164400,246.0,0.0,-8.47,0.0
4.66,clear-night,0.56,10.0,Clear,-5.01,1027.03,4.98,0.0,1389168000,255.0,0.0,-7.57,0.0
4.39,clear-night,0.58,10.0,Clear,-5.9,1027.7,5.4,0.0,1389171600,255.0,0.0,-7.22,0.0
4.3,clear-night,0.57,10.0,Clear,-7.31,1027.95,6.47,0.0,1389175200,251.0,0.0,-7.44,0.0
4.08,clear-night,0.6,10.0,Clear,-8.77,1028.61,7.6,0.0,1389178800,246.0,0.0,-6.64,0.0
4.0,clear-night,0.61,10.0,Clear,-10.35,1029.43,9.24,0.01,1389182400,257.0,0.0,-6.55,0.0
4.74,clear-day,0.61,9.9,Clear,-7.7,1030.76,7.32,0.0,1389186000,273.0,0.0,-5.69,0.0
7.43,clear-day,0.55,10.0,Clear,-7.73,1031.21,11.42,0.0,1389189600,271.0,0.0,-5.25,0.0
10.26,clear-day,0.53,10.0,Clear,-1.93,1031.61,8.36,0.03,1389193200,265.0,0.0,-3.6,0.0
12.39,clear-day,0.5,10.0,Clear,2.52,1031.05,6.34,0.0,1389196800,265.0,0.0,-2.55,0.0
14.55,clear-day,0.47,10.0,Clear,5.91,1029.83,5.57,0.0,1389200400,266.0,0.0,-1.78,0.0
15.84,clear-day,0.45,10.0,Clear,5.89,1029.47,7.15,0.01,1389204000,234.0,0.0,-1.74,0.0
17.5,clear-day,0.44,10.0,Clear,8.78,1029.34,6.19,0.0,1389207600,243.0,0.0,-0.77,0.0
17.3,clear-day,0.44,10.0,Clear,8.27,1029.67,6.46,0.0,1389211200,265.0,0.0,-0.74,0.0
17.05,clear-day,0.45,10.0,Clear,7.2,1029.74,7.32,0.02,1389214800,261.0,0.0,-0.65,0.0
14.6,clear-night,0.53,10.0,Clear,8.12,1029.98,3.9,0.0,1389218400,234.0,0.0,0.77,0.0
13.49,clear-night,0.57,9.98,Clear,7.77,1030.82,3.33,0.0,1389222000,245.0,0.0,0.97,0.0
12.01,clear-night,0.61,10.0,Clear,5.07,1031.42,3.94,0.02,1389225600,269.0,0.0,1.33,0.0
10.57,clear-night,0.71,9.95,Clear,1.55,1031.69,5.28,0.0,1389229200,212.0,0.0,2.99,0.0
10.92,clear-night,0.72,9.98,Clear,10.92,1031.78,2.54,0.0,1389232800,277.0,0.0,3.7,0.0
11.74,partly-cloudy-night,0.7,9.95,Mostly Cloudy,11.74,1031.74,2.06,0.75,1389236400,279.0,0.0,3.92,0.0
12.15,clear-night,0.7,9.95,Clear,5.32,1031.34,3.89,,1389240000,213.0,0.0,4.4,0.0
13.63,clear-night,0.63,9.98,Clear,4.72,1030.82,5.66,,1389243600,256.0,0.0,3.51,0.0
13.68,partly-cloudy-night,0.64,9.98,Partly Cloudy,6.96,1030.77,3.97,0.39,1389247200,270.0,0.0,3.94,0.0
13.44,clear-night,0.64,10.0,Clear,4.54,1031.16,5.63,0.0,1389250800,273.0,0.0,3.47,0.0
14.62,clear-night,0.59,9.98,Clear,4.21,1031.56,7.38,0.0,1389254400,250.0,0.0,3.06,0.0
14.05,clear-night,0.62,9.77,Clear,3.46,1031.85,7.45,0.06,1389258000,237.0,0.0,3.41,0.0
14.64,clear-night,0.62,9.9,Clear,5.45,1032.49,6.1,0.0,1389261600,263.0,0.0,3.97,0.0
13.56,clear-night,0.64,10.0,Clear,13.56,1033.31,2.93,0.0,1389265200,285.0,0.0,3.85,0.0
14.24,clear-night,0.66,9.98,Clear,1.39,1034.09,10.48,0.14,1389268800,257.0,0.0,5.05,0.0
14.89,clear-day,0.66,9.93,Clear,1.68,1034.94,11.3,0.0,1389272400,276.0,0.0,5.64,0.0
17.18,clear-day,0.66,9.78,Clear,7.0,1035.97,7.75,0.0,1389276000,269.0,0.0,7.65,0.0
19.77,clear-day,0.6,9.74,Clear,8.22,1036.71,10.57,0.07,1389279600,265.0,0.0,8.23,0.0
22.04,clear-day,0.53,10.0,Clear,10.42,1036.92,11.68,0.0,1389283200,280.0,0.0,7.37,0.0
23.85,clear-day,0.47,10.0,Clear,14.02,1036.29,9.35,0.0,1389286800,288.0,0.0,6.73,0.0
24.33,clear-day,0.46,10.0,Clear,16.22,1035.58,7.03,0.01,1389290400,312.0,0.0,6.7,0.0
25.3,clear-day,0.46,10.0,Clear,17.81,1035.6,6.52,0.0,1389294000,329.0,0.0,7.41,0.0
25.44,clear-day,0.46,10.0,Clear,19.7,1035.91,4.69,0.0,1389297600,277.0,0.0,7.35,0.0
25.04,clear-day,0.47,10.0,Clear,25.04,1036.27,2.89,0.01,1389301200,287.0,0.0,7.83,0.0
19.64,clear-night,0.64,10.0,Clear,19.64,1036.67,1.4,0.0,1389304800,218.0,0.0,9.44,0.0
16.89,clear-night,0.72,10.0,Clear,11.27,1037.42,3.57,0.0,1389308400,187.0,0.0,9.38,0.0
14.64,clear-night,0.76,10.0,Clear,14.64,1037.56,2.69,0.02,1389312000,119.0,0.0,8.45,0.0
13.06,clear-night,0.79,10.0,Clear,1.72,1037.36,8.07,0.0,1389315600,122.0,0.0,7.84,0.0
11.57,clear-night,0.81,9.95,Clear,2.38,1037.43,5.58,0.0,1389319200,124.0,0.0,6.84,0.0
11.05,clear-night,0.81,9.91,Clear,0.73,1036.66,6.52,0.01,1389322800,151.0,0.0,6.34,0.0
9.63,clear-night,0.85,9.8,Clear,0.56,1036.07,5.19,0.0,1389326400,125.0,0.0,5.98,0.0
9.78,clear-night,0.81,9.78,Clear,-1.22,1035.39,6.94,0.0,1389330000,111.0,0.0,5.24,0.0
10.19,clear-night,0.83,9.68,Clear,-1.24,1034.9,7.47,0.05,1389333600,111.0,0.0,6.03,0.0
12.51,clear-night,0.8,9.68,Clear,2.46,1034.31,6.53,0.0,1389337200,101.0,0.0,7.48,0.0
14.41,clear-night,0.76,9.4,Clear,2.4,1034.19,9.32,0.0,1389340800,103.0,0.0,8.35,0.0
17.23,snow,0.73,8.11,Flurries,7.69,1033.43,7.01,1.0,1389344400,103.0,0.0008,10.09,0.01
18.3,snow,0.86,2.45,Light Snow,9.52,1032.71,6.42,0.0,1389348000,128.0,0.0021,14.77,0.06
19.45,snow,0.86,1.9,Light Snow,10.92,1032.36,6.39,,1389351600,94.0,0.0047,16.03,0.19
19.98,snow,0.87,2.4,Light Snow,12.19,1032.03,5.72,1.0,1389355200,118.0,0.0074,16.69,0.37
20.54,clear-day,0.87,3.0,Clear,12.09,1031.86,6.54,,1389358800,108.0,0.0,17.36,0.0
23.7,snow,0.81,7.66,Flurries,17.43,1031.6,4.9,,1389362400,111.0,0.0016,18.67,0.03
24.97,cloudy,0.81,8.57,Overcast,18.4,1031.83,5.41,1.0,1389366000,135.0,0.0,19.88,0.0
26.88,clear-day,0.83,4.29,Clear,21.01,1031.23,5.05,,1389369600,111.0,0.0,22.31,0.0
28.3,clear-day,0.82,7.61,Clear,22.94,1029.74,4.79,,1389373200,117.0,0.0,23.52,0.0
31.09,partly-cloudy-day,0.77,9.1,Mostly Cloudy,24.33,1028.32,7.09,0.83,1389376800,196.0,0.0,24.84,0.0
32.7,clear-day,0.77,9.47,Clear,29.49,1027.64,3.48,,1389380400,163.0,0.0009,26.42,0.01
33.14,clear-day,0.78,9.63,Clear,28.78,1027.41,4.61,,1389384000,125.0,0.0,26.89,0.0
